Fri Jul 13 21:28:27 2012    cProfile

         153899 function calls (146715 primitive calls) in 0.269 seconds

   Ordered by: cumulative time
   List reduced from 75 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9351    0.240    0.000    3.341    0.000 g:\beurtle\bexml\libBEXML\parsers\redmine_issues.py:52(__init__)
     9351    0.137    0.000    3.057    0.000 g:\beurtle\bexml\libBEXML\xmlparserbase.py:26(__init__)
106227/9657    0.144    0.000    1.700    0.000 f:\python27\lib\copy.py:66(copy)
     9657    0.027    0.000    1.669    0.000 g:\beurtle\bexml\libBEXML\issue.py:86(__copy__)
     9657    0.392    0.000    1.568    0.000 g:\beurtle\bexml\libBEXML\PropertiedDictionary.py:127(__copy__)
     9351    0.167    0.000    1.377    0.000 g:\beurtle\bexml\libBEXML\comment.py:60(__init__)
     9351    0.055    0.000    1.137    0.000 g:\beurtle\bexml\libBEXML\xmlparserbase.py:50(__setUUID)
    19008    0.163    0.000    1.079    0.000 f:\python27\lib\uuid.py:549(uuid5)
     9657    0.019    0.000    1.056    0.000 g:\beurtle\bexml\libBEXML\xmlparserbase.py:158(element)
     9657    0.059    0.000    0.969    0.000 g:\beurtle\bexml\libBEXML\xmlparserbase.py:133(__setUUID)
     9351    0.111    0.000    0.882    0.000 g:\beurtle\bexml\libBEXML\parsers\redmine_issues.py:21(__mapIDToBE)
   121563    0.226    0.000    0.878    0.000 g:\beurtle\bexml\libBEXML\comment.py:148(__setattr__)
    74808    0.623    0.000    0.852    0.000 g:\beurtle\bexml\libBEXML\PropertiedDictionary.py:151(_addProperty)
    96570    0.300    0.000    0.752    0.000 f:\python27\lib\copy.py:123(_copy_inst)
     9657    0.081    0.000    0.711    0.000 g:\beurtle\bexml\libBEXML\parsers\redmine_issues.py:68(__mapIDToBE)
    57330    0.131    0.000    0.692    0.000 {method 'find' of 'lxml.etree._Element' objects}
   445311    0.525    0.000    0.640    0.000 g:\beurtle\bexml\libBEXML\PropertiedDictionary.py:119(__lookup)
   405594    0.434    0.000    0.594    0.000 {hasattr}
    57330    0.114    0.000    0.538    0.000 f:\python27\lib\site-packages\lxml-2.3-py2.7-win32.egg\lxml\_elementpath.py:270(find)
    28665    0.419    0.000    0.514    0.000 f:\python27\lib\uuid.py:101(__init__)
    19008    0.271    0.000    0.374    0.000 f:\python27\lib\uuid.py:202(get_bytes)
   217827    0.172    0.000    0.365    0.000 g:\beurtle\bexml\libBEXML\PropertiedDictionary.py:163(_isProperty)
    38628    0.090    0.000    0.294    0.000 g:\beurtle\bexml\libBEXML\issue.py:177(__getattr__)




